Id,Date,Url,Topic_Heading,Topic,Discussion_Topic
1,"

April 21, 2020

",https://www.cargill.com/story/what-happens-when-27-farmers-get-together-raise-our-voice,country,,said farmer
1,"

April 21, 2020

",https://www.cargill.com/story/what-happens-when-27-farmers-get-together-raise-our-voice,country,,think said
1,"

April 21, 2020

",https://www.cargill.com/story/what-happens-when-27-farmers-get-together-raise-our-voice,country,,said farmer
1,"

April 21, 2020

",https://www.cargill.com/story/what-happens-when-27-farmers-get-together-raise-our-voice,country,,farmer together
1,"

April 21, 2020

",https://www.cargill.com/story/what-happens-when-27-farmers-get-together-raise-our-voice,country,,farmer said
2,"

April 02, 2020

",https://www.cargill.com/story/where-does-cargill-rank-on-animal-welfare,according,,animal become
2,"

April 02, 2020

",https://www.cargill.com/story/where-does-cargill-rank-on-animal-welfare,according,,tier bbfaw
2,"

April 02, 2020

",https://www.cargill.com/story/where-does-cargill-rank-on-animal-welfare,according,,cargill’s job
2,"

April 02, 2020

",https://www.cargill.com/story/where-does-cargill-rank-on-animal-welfare,according,,cattle team
2,"

April 02, 2020

",https://www.cargill.com/story/where-does-cargill-rank-on-animal-welfare,according,,animal welfare
3,"

March 27, 2020

",https://www.cargill.com/story/how-one-team-in-west-africa-is-protecting-forests-in-cocoa,step,,piece here
3,"

March 27, 2020

",https://www.cargill.com/story/how-one-team-in-west-africa-is-protecting-forests-in-cocoa,step,,they’re supply
3,"

March 27, 2020

",https://www.cargill.com/story/how-one-team-in-west-africa-is-protecting-forests-in-cocoa,step,,read here
3,"

March 27, 2020

",https://www.cargill.com/story/how-one-team-in-west-africa-is-protecting-forests-in-cocoa,step,,cocoa u
3,"

March 27, 2020

",https://www.cargill.com/story/how-one-team-in-west-africa-is-protecting-forests-in-cocoa,step,,cocoa supply
4,"

February 28, 2020

",https://www.cargill.com/story/cargill-funded-programs-get-kids-active-eating-well,active,,health healthy
4,"

February 28, 2020

",https://www.cargill.com/story/cargill-funded-programs-get-kids-active-eating-well,active,,activity minnesota
4,"

February 28, 2020

",https://www.cargill.com/story/cargill-funded-programs-get-kids-active-eating-well,active,,school support
4,"

February 28, 2020

",https://www.cargill.com/story/cargill-funded-programs-get-kids-active-eating-well,active,,healthy support
4,"

February 28, 2020

",https://www.cargill.com/story/cargill-funded-programs-get-kids-active-eating-well,active,,kid healthy
5,"

January 24, 2020

",https://www.cargill.com/story/protein-innovation-cargill-invests-in-cultured-meats,protein,,protein feed
5,"

January 24, 2020

",https://www.cargill.com/story/protein-innovation-cargill-invests-in-cultured-meats,protein,,protein investment
5,"

January 24, 2020

",https://www.cargill.com/story/protein-innovation-cargill-invests-in-cultured-meats,protein,,protein global
5,"

January 24, 2020

",https://www.cargill.com/story/protein-innovation-cargill-invests-in-cultured-meats,protein,,protein complement
5,"

January 24, 2020

",https://www.cargill.com/story/protein-innovation-cargill-invests-in-cultured-meats,protein,,protein investment
6,"

January 15, 2020

",https://www.cargill.com/story/cargill-aims-to-beefup-sustainability,beefup,,practice we’re
