Id,Date,Url,Topic_Heading
1,"

April 21, 2020

",https://www.cargill.com/story/what-happens-when-27-farmers-get-together-raise-our-voice,country
2,"

April 02, 2020

",https://www.cargill.com/story/where-does-cargill-rank-on-animal-welfare,according
3,"

March 27, 2020

",https://www.cargill.com/story/how-one-team-in-west-africa-is-protecting-forests-in-cocoa,step
4,"

February 28, 2020

",https://www.cargill.com/story/cargill-funded-programs-get-kids-active-eating-well,active
5,"

January 24, 2020

",https://www.cargill.com/story/protein-innovation-cargill-invests-in-cultured-meats,protein
6,"

January 15, 2020

",https://www.cargill.com/story/cargill-aims-to-beefup-sustainability,aim
7,"

November 15, 2019

",https://www.cargill.com/story/informing-the-journey-towards-zero-deforestation,deforestation
8,"

November 13, 2019

",https://www.cargill.com/story/how-a-sustainable-coconut-oil-project-improved-livelihoods,coconut
9,"

November 11, 2019

",https://www.cargill.com/story/ag-is-how-young-leaders-will-build-a-sustainable-future,ag
10,"

By Jill Kolling, Vice President of Global Sustainability, Cargill |
October 21, 2019

",https://www.cargill.com/story/perspectives-agriculture-is-how,agriculture
11,"

October 14, 2019

",https://www.cargill.com/story/sustainable-grain-based-solutions-for-aquafeed,across
12,"

September 23, 2019

",https://www.cargill.com/story/cutting-our-footprint-4-ways-cargill-is-taking-action,action
13,"

April 02, 2020

",https://www.cargill.com/story/where-does-cargill-rank-on-animal-welfare,according
14,"

March 27, 2020

",https://www.cargill.com/story/how-one-team-in-west-africa-is-protecting-forests-in-cocoa,step
15,"

February 28, 2020

",https://www.cargill.com/story/cargill-funded-programs-get-kids-active-eating-well,active
16,"

January 24, 2020

",https://www.cargill.com/story/protein-innovation-cargill-invests-in-cultured-meats,protein
17,"

January 15, 2020

",https://www.cargill.com/story/cargill-aims-to-beefup-sustainability,aim
18,"

November 15, 2019

",https://www.cargill.com/story/informing-the-journey-towards-zero-deforestation,deforestation
19,"

November 13, 2019

",https://www.cargill.com/story/how-a-sustainable-coconut-oil-project-improved-livelihoods,coconut
20,"

November 11, 2019

",https://www.cargill.com/story/ag-is-how-young-leaders-will-build-a-sustainable-future,ag
21,"

By Jill Kolling, Vice President of Global Sustainability, Cargill |
October 21, 2019

",https://www.cargill.com/story/perspectives-agriculture-is-how,agriculture
22,"

October 14, 2019

",https://www.cargill.com/story/sustainable-grain-based-solutions-for-aquafeed,across
23,"

September 23, 2019

",https://www.cargill.com/story/cutting-our-footprint-4-ways-cargill-is-taking-action,action
24,"

September 23, 2019

",https://www.cargill.com/story/how-one-south-dakota-wind-farm-signals-a-new-chapter-in-cargills,dakota
25,"

March 27, 2020

",https://www.cargill.com/story/how-one-team-in-west-africa-is-protecting-forests-in-cocoa,step
26,"

February 28, 2020

",https://www.cargill.com/story/cargill-funded-programs-get-kids-active-eating-well,active
27,"

January 24, 2020

",https://www.cargill.com/story/protein-innovation-cargill-invests-in-cultured-meats,protein
28,"

January 15, 2020

",https://www.cargill.com/story/cargill-aims-to-beefup-sustainability,beefup
29,"

November 15, 2019

",https://www.cargill.com/story/informing-the-journey-towards-zero-deforestation,deforestation
30,"

November 13, 2019

",https://www.cargill.com/story/how-a-sustainable-coconut-oil-project-improved-livelihoods,coconut
31,"

November 11, 2019

",https://www.cargill.com/story/ag-is-how-young-leaders-will-build-a-sustainable-future,ag
32,"

By Jill Kolling, Vice President of Global Sustainability, Cargill |
October 21, 2019

",https://www.cargill.com/story/perspectives-agriculture-is-how,agriculture
33,"

October 14, 2019

",https://www.cargill.com/story/sustainable-grain-based-solutions-for-aquafeed,across
34,"

September 23, 2019

",https://www.cargill.com/story/cutting-our-footprint-4-ways-cargill-is-taking-action,action
35,"

September 23, 2019

",https://www.cargill.com/story/how-one-south-dakota-wind-farm-signals-a-new-chapter-in-cargills,chapter
36,"

August 29, 2019

",https://www.cargill.com/story/world-water-week-four-ways-cargills-pledge-to-saving-water,cargill
37,"

February 28, 2020

",https://www.cargill.com/story/cargill-funded-programs-get-kids-active-eating-well,active
38,"

January 24, 2020

",https://www.cargill.com/story/protein-innovation-cargill-invests-in-cultured-meats,protein
39,"

January 15, 2020

",https://www.cargill.com/story/cargill-aims-to-beefup-sustainability,aim
40,"

November 15, 2019

",https://www.cargill.com/story/informing-the-journey-towards-zero-deforestation,deforestation
41,"

November 13, 2019

",https://www.cargill.com/story/how-a-sustainable-coconut-oil-project-improved-livelihoods,coconut
42,"

November 11, 2019

",https://www.cargill.com/story/ag-is-how-young-leaders-will-build-a-sustainable-future,ag
43,"

By Jill Kolling, Vice President of Global Sustainability, Cargill |
October 21, 2019

",https://www.cargill.com/story/perspectives-agriculture-is-how,agriculture
