Id,Date,Polarity,Polarity_Variance,Subjectivity,Subjectivity_Variance,Crop_Name
73,06-08-2020,0.11,,0.2,,maize
107,5/29/2020,0.05,,0.27,,maize
408,03-10-2020,-0.03,,0.04,,maize
579,1/18/2020,-0.05,,0.09,,maize
584,1/17/2020,0.01,0.0,0.25,0.0,maize
1100,6/28/2019,-0.43,,0.73,,maize
1873,8/17/2018,0.05,,0.31,,maize
2027,6/20/2018,0.34,,0.36,,maize
2079,5/31/2018,0.1,,1.0,,maize
2317,03-07-2018,0.05,0.0,0.24,0.03,maize
2527,12/19/2017,0.17,,0.22,,maize
2545,12-12-2017,0.0,,0.0,,maize
2584,11/27/2017,0.1,,0.33,,maize
2668,10/23/2017,-0.06,,0.08,,maize
3030,5/24/2017,0.16,0.01,0.54,0.08,maize
3090,05-04-2017,-0.15,,0.24,,maize
3425,12/22/2016,0.25,0.03,0.75,0.09,maize
3557,10/14/2016,0.0,0.0,0.0,0.0,maize
3765,6/28/2016,0.0,,0.0,,maize
3910,4/26/2016,-0.45,,0.55,,maize
3913,4/26/2016,-0.04,,0.22,,maize
3974,3/17/2016,-0.45,,0.55,,maize
4157,10/14/2015,0.12,,0.32,,maize
4700,10-06-2014,0.03,0.0,0.43,0.03,maize
4899,4/25/2014,0.27,,0.7,,maize
2,6/26/2020,0.4,,0.9,,rice
4,6/26/2020,0.25,0.02,0.9,0.05,rice
5,6/26/2020,0.43,0.04,0.73,0.05,rice
6,6/26/2020,0.0,,0.0,,rice
8,6/25/2020,-0.17,,0.43,,rice
10,6/25/2020,0.13,,0.34,,rice
12,6/24/2020,0.1,,0.57,,rice
14,6/24/2020,0.06,0.0,0.52,0.01,rice
19,6/23/2020,-0.32,0.02,0.58,0.08,rice
25,6/22/2020,0.04,0.0,0.23,0.0,rice
26,6/19/2020,0.35,0.02,0.62,0.05,rice
34,6/17/2020,0.48,0.05,0.84,0.09,rice
35,6/17/2020,-0.04,,0.16,,rice
36,6/17/2020,0.25,,0.5,,rice
38,6/16/2020,-0.12,0.01,1.0,0.11,rice
40,6/16/2020,0.11,0.01,0.5,0.02,rice
47,6/15/2020,0.03,0.0,0.24,0.0,rice
49,06-12-2020,0.15,0.01,0.65,0.05,rice
50,06-12-2020,-0.12,0.0,0.45,0.05,rice
53,06-11-2020,-0.03,,0.23,,rice
54,06-11-2020,0.27,0.03,0.68,0.08,rice
55,06-11-2020,0.3,0.03,0.57,0.01,rice
59,06-10-2020,-0.02,,0.28,,rice
60,06-10-2020,0.1,0.0,0.5,0.07,rice
61,06-10-2020,0.1,,0.39,,rice
62,06-09-2020,0.11,,0.39,,rice
64,06-09-2020,0.08,0.0,0.75,0.12,rice
69,06-08-2020,0.4,,0.8,,rice
73,06-08-2020,0.11,0.0,0.2,0.01,rice
74,06-08-2020,-0.04,0.0,0.27,0.0,rice
80,06-05-2020,0.5,0.03,0.67,0.05,rice
81,06-05-2020,0.0,,0.0,,rice
82,06-05-2020,0.09,0.0,0.49,0.12,rice
84,06-04-2020,0.3,,0.47,,rice
88,06-03-2020,-0.3,0.14,0.6,0.0,rice
89,06-03-2020,0.14,0.01,0.5,0.08,rice
90,06-03-2020,0.5,,0.53,,rice
91,06-03-2020,0.5,0.06,0.64,0.05,rice
93,06-03-2020,0.02,,0.6,,rice
102,06-01-2020,0.18,0.0,0.26,0.0,rice
103,06-01-2020,0.0,,0.0,,rice
105,06-01-2020,-0.05,0.01,0.3,0.0,rice
106,5/29/2020,0.13,0.01,0.4,0.03,rice
108,5/29/2020,-0.19,,0.14,,rice
109,5/29/2020,0.0,,0.25,,rice
110,5/28/2020,0.38,0.07,0.47,0.04,rice
111,5/27/2020,-0.11,,0.6,,rice
114,5/26/2020,-0.4,0.03,0.67,0.06,rice
115,5/26/2020,0.4,0.02,0.9,0.24,rice
117,5/26/2020,0.48,0.05,0.8,0.04,rice
118,5/26/2020,-0.18,,0.4,,rice
119,5/25/2020,-0.04,0.0,0.27,0.01,rice
121,5/22/2020,0.08,,0.3,,rice
128,5/20/2020,0.52,0.09,0.62,0.07,rice
129,5/20/2020,0.1,0.01,0.62,0.1,rice
131,5/20/2020,-0.24,0.02,0.65,0.08,rice
134,5/19/2020,-0.8,0.17,1.0,0.1,rice
